regime_id,n_bars,start,end,duration_days,avg_return,cum_return
46,40,2016-04-09 00:00:00+00:00,2016-05-18 00:00:00+00:00,40,0.0012178153985921204,0.04601702391454632
47,6,2016-05-19 00:00:00+00:00,2016-05-24 00:00:00+00:00,6,0.004116772455511415,0.024822775865606328
48,28,2016-05-25 00:00:00+00:00,2016-06-21 00:00:00+00:00,28,0.011326360951815995,0.325889679715303
49,2,2016-06-22 00:00:00+00:00,2016-06-23 00:00:00+00:00,2,0.05647781387773454,0.11605045963899863
50,2,2016-06-24 00:00:00+00:00,2016-06-25 00:00:00+00:00,2,-0.027010126969693626,-0.05400571170900337
51,2,2016-06-26 00:00:00+00:00,2016-06-27 00:00:00+00:00,2,0.014266166238520672,0.02801213912325018
52,2,2016-06-28 00:00:00+00:00,2016-06-29 00:00:00+00:00,2,0.020642714431960363,0.0407109737248843
53,7,2016-06-30 00:00:00+00:00,2016-07-06 00:00:00+00:00,7,-0.00635619958759061,-0.048682686310036694
54,2,2016-07-07 00:00:00+00:00,2016-07-08 00:00:00+00:00,2,0.00859095145555483,0.016235793680529742
55,3,2016-07-09 00:00:00+00:00,2016-07-11 00:00:00+00:00,3,0.00700087578532375,0.02087685879316714
56,2,2016-07-12 00:00:00+00:00,2016-07-13 00:00:00+00:00,2,-0.0048261226322385276,-0.009735911519072826
57,8,2016-07-14 00:00:00+00:00,2016-07-21 00:00:00+00:00,8,-0.0013288518475578215,-0.01133600778020949
58,43,2016-07-22 00:00:00+00:00,2016-09-02 00:00:00+00:00,43,-0.0017307760362414862,-0.080553933171436
59,18,2016-09-03 00:00:00+00:00,2016-09-20 00:00:00+00:00,18,-4.3946275882377086e-05,-0.001771952993096182
60,5,2016-09-21 00:00:00+00:00,2016-09-25 00:00:00+00:00,5,0.003641802767865343,0.018236623963828302
61,102,2016-09-26 00:00:00+00:00,2017-01-05 00:00:00+00:00,102,0.004230404676751748,0.48378396158147585
62,11,2017-01-06 00:00:00+00:00,2017-01-16 00:00:00+00:00,11,0.0020653981692082446,0.006362225670583088
63,7,2017-01-17 00:00:00+00:00,2017-01-23 00:00:00+00:00,7,-0.0022310561807127,-0.016796264070312872
64,43,2017-01-24 00:00:00+00:00,2017-03-07 00:00:00+00:00,43,0.006170665298351127,0.2882411587449174
65,2,2017-03-08 00:00:00+00:00,2017-03-09 00:00:00+00:00,2,-0.013458992686006033,-0.02893913043478258
66,6,2017-03-10 00:00:00+00:00,2017-03-15 00:00:00+00:00,6,0.01085890228862052,0.06365964610645425
67,15,2017-03-16 00:00:00+00:00,2017-03-30 00:00:00+00:00,15,-0.005103240260309786,-0.09767555417112173
68,75,2017-03-31 00:00:00+00:00,2017-06-13 00:00:00+00:00,75,0.01204292538743893,1.3384898161020353
69,3,2017-06-14 00:00:00+00:00,2017-06-16 00:00:00+00:00,3,0.019917338563938403,0.05965200668696169
70,8,2017-06-17 00:00:00+00:00,2017-06-24 00:00:00+00:00,8,-0.0027018992376455775,-0.025027486181604774
71,8,2017-06-25 00:00:00+00:00,2017-07-02 00:00:00+00:00,8,-0.0008985568885180734,-0.00978987491359029
72,4,2017-07-03 00:00:00+00:00,2017-07-06 00:00:00+00:00,4,-0.004286873613653958,-0.01770629392447909
73,2,2017-07-07 00:00:00+00:00,2017-07-08 00:00:00+00:00,2,0.00017147649880006055,-8.734803427212778e-05
74,11,2017-07-09 00:00:00+00:00,2017-07-19 00:00:00+00:00,11,0.014472224888123962,0.11878782103206742
75,46,2017-07-20 00:00:00+00:00,2017-09-03 00:00:00+00:00,46,0.009757794497049319,0.5035171777399201
76,4,2017-09-04 00:00:00+00:00,2017-09-07 00:00:00+00:00,4,0.0008550854610819836,-0.001784571950589342
77,10,2017-09-08 00:00:00+00:00,2017-09-17 00:00:00+00:00,10,0.00019521929759375167,-0.03867573159917237
78,7,2017-09-18 00:00:00+00:00,2017-09-24 00:00:00+00:00,7,-0.004017925541968147,-0.03422463839417478
79,2,2017-09-25 00:00:00+00:00,2017-09-26 00:00:00+00:00,2,0.03531152290524381,0.06994271625314874
80,45,2017-09-27 00:00:00+00:00,2017-11-10 00:00:00+00:00,45,0.00991086831802455,0.5134728507595219
81,2,2017-11-11 00:00:00+00:00,2017-11-12 00:00:00+00:00,2,0.019160545636746074,0.031755693972568055
82,39,2017-11-13 00:00:00+00:00,2017-12-21 00:00:00+00:00,39,0.021678666394645264,1.1086700337983597
83,4,2017-12-22 00:00:00+00:00,2017-12-25 00:00:00+00:00,4,0.041284676383271046,0.1639699822148959
84,2,2017-12-26 00:00:00+00:00,2017-12-27 00:00:00+00:00,2,-0.04700757953743778,-0.09275270500254662
85,5,2017-12-28 00:00:00+00:00,2018-01-01 00:00:00+00:00,5,0.00837166520933541,0.02571457912573183
86,6,2018-01-02 00:00:00+00:00,2018-01-07 00:00:00+00:00,6,0.004084971987176593,0.012548307647125778
87,37,2018-01-08 00:00:00+00:00,2018-02-13 00:00:00+00:00,37,-0.010033467762647718,-0.3741221218053937
88,8,2018-02-14 00:00:00+00:00,2018-02-21 00:00:00+00:00,8,0.008230875010694041,0.053753542792083886
89,2,2018-02-22 00:00:00+00:00,2018-02-23 00:00:00+00:00,2,-0.008890645686854548,-0.019183408295852078
